"MAPPING — MASTER DATA (Model, Brand, Size, HS Code da co san)",,,,,,,,,
"  Day la MASTER DATA chinh: VBA doc Size/HS Code/Ma noi bo TRUC TIEP tu day theo key MODEL+BRAND.
  Neu mot Model+Brand MOI chua co trong danh sach, VBA se TU TINH du phong va canh bao ban bo sung.
  CHI THEM DONG MOI khi co Model+Brand thuc su chua ton tai (khong sua Size/HS Code cua dong co san tru khi chac chan).",,,,,,,,,
#,MODEL,BRAND,DESCRIPTION (English),INTERNAL CODE,SIZE (CM),HS CODE,TEN HANG (VN),SO LO,PCS/CTN
118,RECMF-6650,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-6650,CR.AR.065.TA,165.1,401032,TAKA r?ng A65,,100
119,RECMF-6660,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-6660,CR.AR.066.TA,167.6,401032,TAKA r?ng A66,,100
120,RECMF-6670,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-6670,CR.AR.067.TA,170.2,401032,TAKA r?ng A67,,100
121,RECMF-6680,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-6680,CR.AR.068.TA,172.7,401032,TAKA r?ng A68,,100
122,RECMF-6690,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-6690,CR.AR.069.TA,175.3,401032,TAKA r?ng A69,,100
123,RECMF-6700,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-6700,CR.AR.070.TA,177.8,401032,TAKA r?ng A70,,80
124,RECMF-81000,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-81000,CR.BR.100.TA,254,401039,TAKA r?ng B100,,30
125,RECMF-81010,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-81010,CR.BR.101.TA,256.5,401039,TAKA r?ng B101,,30
126,RECMF-81020,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-81020,CR.BR.102.TA,259.1,401039,TAKA r?ng B102,,30
127,RECMF-81030,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-81030,CR.BR.103.TA,261.6,401039,TAKA r?ng B103,,30
128,RECMF-81040,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-81040,CR.BR.104.TA,264.2,401039,TAKA r?ng B104,,30
129,RECMF-81050,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-81050,CR.BR.105.TA,266.7,401039,TAKA r?ng B105,,25
130,RECMF-81060,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-81060,CR.BR.106.TA,269.2,401039,TAKA r?ng B106,,25
131,RECMF-81070,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-81070,CR.BR.107.TA,271.8,401039,TAKA r?ng B107,,25
132,RECMF-81080,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-81080,CR.BR.108.TA,274.3,401039,TAKA r?ng B108,,25
133,RECMF-81090,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-81090,CR.BR.109.TA,276.9,401039,TAKA r?ng B109,,25
134,RECMF-81100,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-81100,CR.BR.110.TA,279.4,401039,TAKA r?ng B110,,25
135,RECMF-81110,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-81110,CR.BR.111.TA,281.9,401039,TAKA r?ng B111,,25
136,RECMF-81120,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-81120,CR.BR.112.TA,284.5,401039,TAKA r?ng B112,,25
137,RECMF-81130,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-81130,CR.BR.113.TA,287,401039,TAKA r?ng B113,,25
138,RECMF-81140,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-81140,CR.BR.114.TA,289.6,401039,TAKA r?ng B114,,25
139,RECMF-81150,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-81150,CR.BR.115.TA,292.1,401039,TAKA r?ng B115,,25
140,RECMF-81160,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-81160,CR.BR.116.TA,294.6,401039,TAKA r?ng B116,,25
